Employee Name,Email,Phone,Report To,Assigned Policies
kuldeep,kuldeep@example.com,99106342,sher@example.com,Sick Leave|Annual Leave
Ravi,ravi@example.com,41915717,sher@example.com,Sick Leave|Annual Leave
Sohal,sohal@example.com,97855292,satya@example.com,Sick Leave|Annual Leave
Krish,krish@example.com,51460731,satya@example.com,Sick Leave|Annual Leave
Satya,satya@example.com,49232787,seeta@example.com,Sick Leave|Annual Leave
Sher,sher@example.com,88986763,seeta@example.com,Sick Leave|Annual Leave
Sandhya,sandhya@example.com,59818586,sher@example.com,Sick Leave|Annual Leave|Maternity Leave
Alka,alka@example.com,50065407,satya@example.com,Sick Leave|Annual Leave|Maternity Leave
Seeta,seeta@example.com,50065407,,Sick Leave|Annual Leave|Maternity Leave
,kaka@pppp.com,,,
Sunny K,sunny@example.com,555555,sher@example.com,Sick Leave|Annual Leave
